IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),数据中心
104.19.169.102#SJC,4,4,0.00,140.00,0.00,SJC
104.19.209.48#SJC,4,4,0.00,140.80,0.00,SJC
104.16.171.193#SJC,4,4,0.00,141.45,0.00,SJC
104.18.67.133#SJC,4,4,0.00,141.59,0.00,SJC
104.19.190.252#SJC,4,4,0.00,141.61,0.00,SJC
104.19.167.53#SJC,4,4,0.00,141.82,0.00,SJC
104.18.199.109#SJC,4,4,0.00,142.29,0.00,SJC
104.19.225.154#SJC,4,4,0.00,142.36,0.00,SJC
104.19.186.2#SJC,4,4,0.00,142.52,0.00,SJC
104.19.232.95#SJC,4,4,0.00,142.64,0.00,SJC
104.18.75.57#SJC,4,4,0.00,142.91,0.00,SJC
190.93.247.59#SJC,4,4,0.00,143.21,0.00,SJC
104.18.212.218#SJC,4,4,0.00,143.55,0.00,SJC
104.18.206.159#SJC,4,4,0.00,143.60,0.00,SJC
104.16.66.231#SJC,4,4,0.00,143.71,0.00,SJC
104.18.217.141#SJC,4,4,0.00,144.22,0.00,SJC
104.26.12.203#HKG,4,4,0.00,144.32,0.00,HKG
104.26.5.64#HKG,4,4,0.00,146.18,0.00,HKG
104.20.27.75#HKG,4,4,0.00,147.74,0.00,HKG
104.26.0.56#HKG,4,4,0.00,148.80,0.00,HKG
104.20.28.115#HKG,4,4,0.00,151.08,0.00,HKG
104.20.21.10#HKG,4,4,0.00,152.27,0.00,HKG
104.26.15.200#HKG,4,4,0.00,152.60,0.00,HKG
104.20.19.173#HKG,4,4,0.00,153.64,0.00,HKG
104.20.23.30#HKG,4,4,0.00,154.42,0.00,HKG
104.26.14.137#HKG,4,4,0.00,154.65,0.00,HKG
104.26.11.134#HKG,4,4,0.00,157.34,0.00,HKG
104.20.30.131#HKG,4,4,0.00,158.95,0.00,HKG
162.159.137.237#HKG,4,4,0.00,159.48,0.00,HKG
162.159.141.101#HKG,4,4,0.00,162.00,0.00,HKG
162.159.133.25#HKG,4,4,0.00,163.45,0.00,HKG
162.159.135.116#HKG,4,4,0.00,163.45,0.00,HKG
162.159.34.31#SEA,4,4,0.00,156.71,0.00,SEA
162.159.35.126#SEA,4,4,0.00,177.76,0.00,SEA
162.159.42.234#SEA,4,4,0.00,178.78,0.00,SEA
198.41.212.54#SEA,4,4,0.00,181.39,0.00,SEA
162.159.43.34#SEA,4,4,0.00,211.60,0.00,SEA
104.18.54.103#LAX,4,4,0.00,170.59,0.00,LAX
104.18.62.63#LAX,4,4,0.00,174.01,0.00,LAX
104.18.58.6#LAX,4,4,0.00,179.37,0.00,LAX
104.21.4.85#LAX,4,4,0.00,180.99,0.00,LAX
104.18.63.220#LAX,4,4,0.00,181.01,0.00,LAX
104.21.34.31#LAX,4,4,0.00,181.96,0.00,LAX
104.21.70.0#LAX,4,4,0.00,182.50,0.00,LAX
104.25.147.171#LAX,4,4,0.00,182.55,0.00,LAX
104.21.199.31#LAX,4,4,0.00,182.55,0.00,LAX
172.64.81.157#LAX,4,4,0.00,182.96,0.00,LAX
104.21.57.2#LAX,4,4,0.00,183.25,0.00,LAX
172.67.237.50#LAX,4,4,0.00,183.78,0.00,LAX
162.159.255.128#LAX,4,4,0.00,183.89,0.00,LAX
104.25.175.122#LAX,4,4,0.00,183.92,0.00,LAX
104.20.243.148#LAX,4,4,0.00,183.99,0.00,LAX
104.24.149.15#LAX,4,4,0.00,184.22,0.00,LAX
162.159.83.120#ORD,4,4,0.00,221.14,0.00,ORD
172.64.78.128#ORD,4,4,0.00,221.77,0.00,ORD
172.66.31.61#ORD,4,4,0.00,224.31,0.00,ORD
172.64.235.163#ORD,4,4,0.00,236.37,0.00,ORD
162.159.81.55#FRA,4,4,0.00,280.95,0.00,FRA
162.159.80.169#NRT,4,4,0.00,300.02,0.00,NRT
172.64.232.130#NRT,4,4,0.00,301.67,0.00,NRT
